,0
1494,-46.0
1495,-73.0
1496,-62.0
1497,-76.0
1498,-69.0
1499,-74.0
1500,-78.0
1501,-79.0
1502,-57.0
1503,-79.0
1504,-54.0
1505,-76.0
1506,-76.0
1507,-79.0
1508,-69.0
1509,-68.0
1510,-76.0
1511,-71.0
1512,-46.0
1513,-73.0
1514,-62.0
1515,-76.0
1516,-69.0
1517,-74.0
1518,-78.0
1519,-79.0
1520,-58.0
1521,-79.0
1522,-53.0
1523,-76.0
1524,-76.0
1525,-79.0
1526,-69.0
1527,-68.0
1528,-76.0
1529,-70.0
1530,-46.0
1531,-73.0
1532,-61.0
1533,-74.0
1534,-69.0
1535,-74.0
1536,-78.0
1537,-79.0
1538,-58.0
1539,-79.0
1540,-54.0
1541,-76.0
1542,-74.0
1543,-79.0
1544,-69.0
1545,-68.0
1546,-76.0
1547,-70.0
1548,-44.0
1549,-73.0
1550,-61.0
1551,-77.0
1552,-69.0
1553,-74.0
1554,-78.0
1555,-79.0
1556,-57.0
1557,-79.0
1558,-54.0
1559,-76.0
1560,-74.0
1561,-79.0
1562,-69.0
1563,-67.0
1564,-79.0
1565,-76.0
1566,-70.0
1567,-45.0
1568,-73.0
1569,-61.0
1570,-75.0
1571,-68.0
1572,-74.0
1573,-78.0
1574,-79.0
1575,-58.0
1576,-79.0
1577,-53.0
1578,-76.0
1579,-74.0
1580,-79.0
1581,-69.0
1582,-68.0
1583,-79.0
1584,-76.0
1585,-69.0
1586,-45.0
1587,-73.0
1588,-60.0
1589,-74.0
1590,-69.0
1591,-74.0
1592,-79.0
1593,-58.0
1594,-79.0
1595,-54.0
1596,-76.0
1597,-73.0
1598,-79.0
1599,-69.0
1600,-68.0
1601,-79.0
1602,-76.0
1603,-71.0
1604,-44.0
1605,-74.0
1606,-60.0
1607,-76.0
1608,-69.0
1609,-74.0
1610,-79.0
1611,-58.0
1612,-79.0
1613,-54.0
1614,-76.0
1615,-73.0
1616,-79.0
1617,-69.0
1618,-68.0
1619,-79.0
1620,-76.0
1621,-71.0
1622,-44.0
1623,-74.0
1624,-60.0
1625,-75.0
1626,-69.0
1627,-74.0
1628,-76.0
1629,-79.0
1630,-58.0
1631,-79.0
1632,-53.0
1633,-76.0
1634,-73.0
1635,-79.0
1636,-69.0
1637,-68.0
1638,-79.0
1639,-76.0
1640,-71.0
1641,-43.0
1642,-74.0
1643,-60.0
1644,-76.0
1645,-69.0
1646,-74.0
1647,-76.0
1648,-79.0
1649,-59.0
1650,-79.0
1651,-54.0
1652,-76.0
1653,-73.0
1654,-79.0
1655,-69.0
